Year,Volcano Name,Country,Elevation,Volcanic Explosivity Index,Latitude,Longitude
1331,Aso,Japan,1592,2.0,32.88,131.1
1911,Asama,Japan,2560,2.0,36.4,138.53
1913,Colima,Mexico,3850,4.0,19.514,-103.62
1944,Cleveland,United States,1730,3.0,52.82,-169.95
1952,Myojun Knoll,Japan,360,2.0,32.1,139.85
1960,Puyehue,Chile,2236,3.0,-40.59,-72.117
1971,La Palma,Spain,2426,2.0,28.58,-17.83
1972,Ritter Island,Papua New Guinea,140,1.0,-5.52,148.121
1979,Soufriere St. Vincent,St. Vincent & the Grenadines,1220,3.0,13.33,-61.18
1983,Miyake-jima,Japan,815,3.0,34.08,139.53
1984,Etna,Italy,3350,3.0,37.734,15.004
1990,Aso,Japan,1592,2.0,32.88,131.1
1991,Etna,Italy,3350,2.0,37.734,15.004
1994,Semeru,Indonesia,3676,3.0,-8.108,112.92
2017,Fuego,Guatemala,3763,2.0,14.473,-90.88
2018,Aoba,Vanuatu,1496,3.0,-15.4,167.83
-1010,Tungurahua,Ecuador,5023,5.0,-1.467,-78.442
1311,Katla,Iceland,1512,4.0,63.63,-19.05
1587,Merapi,Indonesia,2947,4.0,-7.542,110.442
1716,Kelut,Indonesia,1731,2.0,-7.93,112.308
1729,Bardarbunga,Iceland,2000,1.0,64.63,-17.53
1742,Cotopaxi,Ecuador,5911,3.0,-0.677,-78.436
1772,Gamalama,Indonesia,1715,3.0,0.8,127.325
1775,Lokon-Empung,Indonesia,1580,3.0,1.358,124.792
1840,Ararat,Turkey,5165,3.0,39.7,44.28
1871,Mayon,Philippines,2462,3.0,13.257,123.685
1874,Taal,Philippines,400,2.0,14.002,120.993
1883,Krakatau,Indonesia,813,6.0,-6.102,105.423
1885,Semeru,Indonesia,3676,2.0,-8.108,112.92
1919,Mauna Loa,United States,4170,0.0,19.475,-155.608
1939,Dieng Volc Complex,Indonesia,2565,1.0,-7.2,109.92
1952,Myojun Knoll,Japan,360,2.0,32.1,139.85
1952,Ambalatungan Group,Philippines,2329,1.0,17.32,121.1
1961,Calbuco,Chile,2003,3.0,-41.326,-72.614
1978,Semeru,Indonesia,3676,3.0,-8.108,112.92
1986,Stromboli,Italy,926,2.0,38.789,15.213
1996,Popocatepetl,Mexico,5426,3.0,19.023,-98.622
2006,Tungurahua,Ecuador,5023,3.0,-1.467,-78.442
800,Dakataua,Papua New Guinea,400,6.0,-5.056,150.108
1311,Kelut,Indonesia,1731,3.0,-7.93,112.308
1410,Nasu,Japan,1917,3.0,37.12,139.97
1672,Fayal,Portugal,1043,2.0,38.6,-28.73
1800,Kieyo,Tanzania,2175,2.0,-9.23,33.78
1803,Asama,Japan,2560,2.0,36.4,138.53
1856,Awu,Indonesia,1320,3.0,3.67,125.5
1894,Ambrym,Vanuatu,1334,3.0,-16.25,168.12
1910,Usu,Japan,731,2.0,42.53,140.83
1911,Asama,Japan,2560,2.0,36.4,138.53
1917,San Salvador,El Salvador,1893,3.0,13.736,-89.286
1923,Kirishima,Japan,1700,2.0,31.93,130.87
1929,Komaga-take,Japan,1140,4.0,42.07,140.68
1929,Santa Maria,Guatemala,3772,3.0,14.756,-91.552
1939,Kick-'em-Jenny,Netherlands,-177,1.0,12.3,-61.63
1951,Kelut,Indonesia,1731,3.0,-7.93,112.308
1966,Awu,Indonesia,1320,4.0,3.67,125.5
1971,Villarrica,Chile,2847,2.0,-39.42,-71.93
1974,Niigata-Yake-yama,Japan,2400,2.0,36.92,138.03
1977,Karthala,Comoros,2361,0.0,-11.75,43.38
1978,Bulusan,Philippines,1565,2.0,12.77,124.05
1982,"Chichon, El",Mexico,1150,5.0,17.36,-93.228
2001,Etna,Italy,3350,2.0,37.734,15.004
2018,Kilauea,United States,1222,1.0,19.425,-155.292
2018,Krakatau,Indonesia,813,1.0,-6.102,105.423
50,Ambrym,Vanuatu,1334,6.0,-16.25,168.12
1568,Savo,Solomon Is.,510,3.0,-9.13,159.82
1663,Usu,Japan,731,5.0,42.53,140.83
1755,Katla,Iceland,1512,4.0,63.63,-19.05
1843,Lamongan,Indonesia,1651,2.0,-8.0,113.342
1872,Vesuvius,Italy,1281,3.0,40.821,14.426
1878,Okmok,United States,1073,2.0,53.42,-168.13
1913,Ambrym,Vanuatu,1334,3.0,-16.25,168.12
1949,Purace,Colombia,4650,2.0,2.32,-76.4
1957,Aso,Japan,1592,2.0,32.88,131.1
1963,Irazu,Costa Rica,3432,3.0,9.979,-83.852
1971,Fuego,Guatemala,3763,3.0,14.473,-90.88
1992,"Negro, Cerro",Nicaragua,728,3.0,12.506,-86.702
2004,Egon,Indonesia,1703,1.0,-8.67,122.45
-100,Okmok,United States,1073,6.0,53.42,-168.13
1329,Etna,Italy,3350,3.0,37.734,15.004
1341,Hekla,Iceland,1491,3.0,63.98,-19.7
1510,Hekla,Iceland,1491,4.0,63.98,-19.7
1580,Billy Mitchell,Papua New Guinea,1544,6.0,-6.092,155.225
1698,Cereme,Indonesia,3078,3.0,-6.892,108.4
1716,Taal,Philippines,400,4.0,14.002,120.993
1717,Fuego,Guatemala,3763,3.0,14.473,-90.88
1721,Katla,Iceland,1512,5.0,63.63,-19.05
1845,Ruiz,Colombia,5321,3.0,4.895,-75.322
1895,Kirishima,Japan,1700,2.0,31.93,130.87
1940,"Lengai, Ol Doinyo",Tanzania,2890,2.0,-2.751,35.902
1946,Semeru,Indonesia,3676,2.0,-8.108,112.92
1953,Merapi,Indonesia,2947,3.0,-7.542,110.442
1961,Asama,Japan,2560,2.0,36.4,138.53
1962,Tokachi,Japan,2077,3.0,43.42,142.68
1963,Agung,Indonesia,3142,3.0,-8.342,115.508
1969,Didicas,Philippines,244,2.0,19.077,122.202
1997,Karangetang [Api Siau],Indonesia,1784,1.0,2.78,125.48
2000,Semeru,Indonesia,3676,3.0,-8.108,112.92
1593,Raung,Indonesia,3332,5.0,-8.125,114.042
1692,Serua,Pacific Ocean,641,4.0,-6.3,130.0
1718,Pico,Portugal,2351,2.0,38.47,-28.4
1866,Santorini,Greece,329,2.0,36.404,25.396
1877,Mauna Loa,United States,4170,0.0,19.475,-155.608
1883,Bagana,Papua New Guinea,1750,3.0,-6.14,155.195
1886,Niuafo'ou,Tonga,260,4.0,-15.6,-175.63
1896,Kirishima,Japan,1700,2.0,31.93,130.87
1902,Pelee,Martinique,1397,4.0,14.82,-61.17
1923,Papandayan,Indonesia,2665,1.0,-7.32,107.73
1928,Santorini,Greece,329,2.0,36.404,25.396
1963,Agung,Indonesia,3142,5.0,-8.342,115.508
1963,Semeru,Indonesia,3676,2.0,-8.108,112.92
1965,Taal,Philippines,400,4.0,14.002,120.993
1973,Vestmannaeyjar,Iceland,279,3.0,63.43,-20.28
1974,Karangetang [Api Siau],Indonesia,1784,3.0,2.78,125.48
1975,Kilauea,United States,1222,0.0,19.425,-155.292
1982,"Chichon, El",Mexico,1150,5.0,17.36,-93.228
1986,Oku Volc Field,Cameroon,3011,3.0,6.25,10.5
1992,Semeru,Indonesia,3676,3.0,-8.108,112.92
1994,Yasur,Vanuatu,361,3.0,-19.52,169.425
2004,Tengger Caldera,Indonesia,2329,2.0,-7.942,112.95
2008,Kasatochi,United States,314,3.0,52.18,-175.5
920,Katla,Iceland,1512,4.0,63.63,-19.05
1104,Hekla,Iceland,1491,5.0,63.98,-19.7
1151,Krisuvik,Iceland,379,1.0,63.93,-22.1
1206,Hekla,Iceland,1491,2.0,63.98,-19.7
1485,Aso,Japan,1592,2.0,32.88,131.1
1550,Dukono,Indonesia,1185,3.0,1.68,127.88
1576,Colima,Mexico,3850,3.0,19.514,-103.62
1580,Katla,Iceland,1512,4.0,63.63,-19.05
1598,Asama,Japan,2560,2.0,36.4,138.53
1730,Lanzarote,Spain,670,2.0,29.03,-13.63
1772,Papandayan,Indonesia,2665,3.0,-7.32,107.73
1781,Sakura-jima,Japan,1117,4.0,31.58,130.67
1826,Aso,Japan,1592,2.0,32.88,131.1
1840,Kilauea,United States,1222,0.0,19.425,-155.292
1840,Savo,Solomon Is.,510,3.0,-9.13,159.82
1850,Rabaul,Papua New Guinea,688,2.0,-4.271,152.203
1861,Dubbi,Eritrea,1625,3.0,13.58,41.808
1883,Karthala,Comoros,2361,2.0,-11.75,43.38
1887,Mayon,Philippines,2462,3.0,13.257,123.685
1890,Makian,Indonesia,1357,2.0,0.32,127.4
1902,Pelee,Martinique,1397,4.0,14.82,-61.17
1902,Santa Maria,Guatemala,3772,6.0,14.756,-91.552
1936,Asama,Japan,2560,3.0,36.4,138.53
1937,Llaima,Chile,3125,2.0,-38.692,-71.729
1943,"Azul, Cerro",Ecuador,1690,3.0,-0.9,-91.42
1951,Lamington,Papua New Guinea,1680,4.0,-8.95,148.15
1981,Semeru,Indonesia,3676,3.0,-8.108,112.92
1983,Iliwerung,Indonesia,1018,1.0,-8.54,123.59
1985,Etna,Italy,3350,1.0,37.734,15.004
1990,Sabancaya,Peru,5967,3.0,-15.78,-71.85
1997,Semeru,Indonesia,3676,3.0,-8.108,112.92
1999,Soufriere Hills,Montserrat,915,3.0,16.72,-62.18
2000,Merapi,Indonesia,2947,2.0,-7.542,110.442
2018,Fuego,Guatemala,3763,2.0,14.473,-90.88
-1900,Black Peak,United States,1032,6.0,56.53,-158.8
1477,Bardarbunga,Iceland,2000,6.0,64.63,-17.53
1597,Raung,Indonesia,3332,3.0,-8.125,114.042
1673,Gamkonora,Indonesia,1635,5.0,1.375,127.52
1754,Taal,Philippines,400,4.0,14.002,120.993
1768,Cotopaxi,Ecuador,5911,4.0,-0.677,-78.436
1792,Unzen,Japan,1500,2.0,32.75,130.3
1814,Mayon,Philippines,2462,4.0,13.257,123.685
1815,Tambora,Indonesia,2850,7.0,-8.25,118.0
1818,Colima,Mexico,3850,4.0,19.514,-103.62
1854,Alaid,Russia,2339,3.0,50.858,155.55
1872,Merapi,Indonesia,2947,4.0,-7.542,110.442
1888,Ritter Island,Papua New Guinea,140,3.0,-5.52,148.121
1888,Bandai,Japan,1819,4.0,37.6,140.08
1913,Semeru,Indonesia,3676,2.0,-8.108,112.92
1916,Tungurahua,Ecuador,5023,4.0,-1.467,-78.442
1920,Merapi,Indonesia,2947,3.0,-7.542,110.442
1946,Semeru,Indonesia,3676,2.0,-8.108,112.92
1948,Iliwerung,Indonesia,1018,2.0,-8.54,123.59
1950,Camiguin,Philippines,1332,3.0,9.203,124.673
1950,Asama,Japan,2560,2.0,36.4,138.53
1956,Bezymianny,Russia,2882,5.0,55.978,160.587
1958,Kuwae,Vanuatu,-2,2.0,-16.829,168.536
1967,Semeru,Indonesia,3676,3.0,-8.108,112.92
1974,Sakura-jima,Japan,1117,3.0,31.58,130.67
1979,Dieng Volc Complex,Indonesia,2565,1.0,-7.2,109.92
1984,Mayon,Philippines,2462,3.0,13.257,123.685
1988,Banda Api,Pacific Ocean,640,3.0,-4.525,129.871
1993,Krakatau,Indonesia,813,1.0,-6.102,105.423
1996,Karymsky,Russia,1536,2.0,54.05,159.43
2006,Bulusan,Philippines,1565,2.0,12.77,124.05
2007,Manam,Papua New Guinea,1807,4.0,-4.1,145.061
