STATE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
DC,3,Minimal,2017-11-11,45,2017-18
PR,3,Minimal,2017-11-11,45,2017-18
IA,1,Minimal,2017-11-11,45,2017-18
MS,8,High,2017-11-11,45,2017-18
VT,1,Minimal,2017-11-11,45,2017-18
MD,1,Minimal,2017-11-11,45,2017-18
AK,2,Minimal,2017-11-11,45,2017-18
CT,1,Minimal,2017-11-11,45,2017-18
SC,6,Moderate,2017-11-11,45,2017-18
CA,2,Minimal,2017-11-11,45,2017-18
MA,2,Minimal,2017-11-11,45,2017-18
HI,3,Minimal,2017-11-11,45,2017-18
NH,1,Minimal,2017-11-11,45,2017-18
MT,1,Minimal,2017-11-11,45,2017-18
IN,1,Minimal,2017-11-11,45,2017-18
ME,1,Minimal,2017-11-11,45,2017-18
OR,2,Minimal,2017-11-11,45,2017-18
RI,1,Minimal,2017-11-11,45,2017-18
TN,1,Minimal,2017-11-11,45,2017-18
WI,1,Minimal,2017-11-11,45,2017-18
NV,2,Minimal,2017-11-11,45,2017-18
NC,1,Minimal,2017-11-11,45,2017-18
WY,2,Minimal,2017-11-11,45,2017-18
DE,1,Minimal,2017-11-11,45,2017-18
NM,2,Minimal,2017-11-11,45,2017-18
NY,1,Minimal,2017-11-11,45,2017-18
TX,3,Minimal,2017-11-11,45,2017-18
AL,4,Low,2017-11-11,45,2017-18
PA,2,Minimal,2017-11-11,45,2017-18
KS,1,Minimal,2017-11-11,45,2017-18
CT,1,Minimal,2017-11-18,46,2017-18
IN,1,Minimal,2017-11-18,46,2017-18
MO,1,Minimal,2017-11-18,46,2017-18
NH,1,Minimal,2017-11-18,46,2017-18
PR,6,Moderate,2017-11-18,46,2017-18
TX,5,Low,2017-11-18,46,2017-18
DE,1,Minimal,2017-11-18,46,2017-18
RI,1,Minimal,2017-11-18,46,2017-18
MS,10,High,2017-11-18,46,2017-18
UT,1,Minimal,2017-11-18,46,2017-18
FL,1,Minimal,2017-11-18,46,2017-18
ID,1,Minimal,2017-11-18,46,2017-18
CA,2,Minimal,2017-11-18,46,2017-18
OR,2,Minimal,2017-11-18,46,2017-18
TN,1,Minimal,2017-11-18,46,2017-18
NM,3,Minimal,2017-11-18,46,2017-18
KS,1,Minimal,2017-11-18,46,2017-18
WY,1,Minimal,2017-11-18,46,2017-18
PA,2,Minimal,2017-11-18,46,2017-18
IL,1,Minimal,2017-11-18,46,2017-18
CO,2,Minimal,2017-11-18,46,2017-18
OK,3,Minimal,2017-11-18,46,2017-18
IA,1,Minimal,2017-11-18,46,2017-18
SC,6,Moderate,2017-11-18,46,2017-18
VT,1,Minimal,2017-11-18,46,2017-18
VA,3,Minimal,2017-11-18,46,2017-18
KY,3,Minimal,2017-11-18,46,2017-18
DC,3,Minimal,2017-11-18,46,2017-18
AR,3,Minimal,2017-11-18,46,2017-18
GA,6,Moderate,2017-11-18,46,2017-18
NJ,2,Minimal,2017-11-18,46,2017-18
MT,1,Minimal,2017-11-18,46,2017-18
HI,2,Minimal,2017-11-18,46,2017-18
LA,9,High,2017-11-18,46,2017-18
SD,6,Moderate,2017-11-18,46,2017-18
NC,2,Minimal,2017-11-18,46,2017-18
WI,1,Minimal,2017-11-18,46,2017-18
ND,1,Minimal,2017-11-18,46,2017-18
WV,1,Minimal,2017-11-18,46,2017-18
MA,2,Minimal,2017-11-18,46,2017-18
OH,1,Minimal,2017-11-18,46,2017-18
MD,1,Minimal,2017-11-18,46,2017-18
AK,4,Low,2017-11-18,46,2017-18
NV,2,Minimal,2017-11-18,46,2017-18
NY,1,Minimal,2017-11-18,46,2017-18
MI,2,Minimal,2017-11-18,46,2017-18
AZ,3,Minimal,2017-11-18,46,2017-18
AL,5,Low,2017-11-18,46,2017-18
MN,1,Minimal,2017-11-18,46,2017-18
NE,3,Minimal,2017-11-18,46,2017-18
WA,1,Minimal,2017-11-18,46,2017-18
ME,1,Minimal,2017-11-18,46,2017-18
WI,1,Minimal,2017-11-25,47,2017-18
NY,1,Minimal,2017-11-25,47,2017-18
MD,1,Minimal,2017-11-25,47,2017-18
NJ,3,Minimal,2017-11-25,47,2017-18
KY,2,Minimal,2017-11-25,47,2017-18
MO,1,Minimal,2017-11-25,47,2017-18
PR,4,Low,2017-11-25,47,2017-18
ID,1,Minimal,2017-11-25,47,2017-18
NV,2,Minimal,2017-11-25,47,2017-18
OK,4,Low,2017-11-25,47,2017-18
MS,10,High,2017-11-25,47,2017-18
SC,10,High,2017-11-25,47,2017-18
AK,4,Low,2017-11-25,47,2017-18
OR,3,Minimal,2017-11-25,47,2017-18
WA,1,Minimal,2017-11-25,47,2017-18
ND,1,Minimal,2017-11-25,47,2017-18
OH,1,Minimal,2017-11-25,47,2017-18
AR,1,Minimal,2017-11-25,47,2017-18
MT,1,Minimal,2017-11-25,47,2017-18
TN,1,Minimal,2017-11-25,47,2017-18
AZ,3,Minimal,2017-11-25,47,2017-18
CT,1,Minimal,2017-11-25,47,2017-18
MA,3,Minimal,2017-11-25,47,2017-18
DC,3,Minimal,2017-11-25,47,2017-18
AL,5,Low,2017-11-25,47,2017-18
TX,5,Low,2017-11-25,47,2017-18
WV,3,Minimal,2017-11-25,47,2017-18
IL,1,Minimal,2017-11-25,47,2017-18
NM,3,Minimal,2017-11-25,47,2017-18
VT,1,Minimal,2017-11-25,47,2017-18
MN,1,Minimal,2017-11-25,47,2017-18
SD,4,Low,2017-11-25,47,2017-18
RI,1,Minimal,2017-11-25,47,2017-18
CO,3,Minimal,2017-11-25,47,2017-18
PA,2,Minimal,2017-11-25,47,2017-18
ME,1,Minimal,2017-11-25,47,2017-18
VA,4,Low,2017-11-25,47,2017-18
MI,3,Minimal,2017-11-25,47,2017-18
IN,1,Minimal,2017-11-25,47,2017-18
HI,3,Minimal,2017-11-25,47,2017-18
DE,1,Minimal,2017-11-25,47,2017-18
FL,1,Minimal,2017-11-25,47,2017-18
CA,3,Minimal,2017-11-25,47,2017-18
IA,1,Minimal,2017-11-25,47,2017-18
NE,5,Low,2017-11-25,47,2017-18
NH,1,Minimal,2017-11-25,47,2017-18
WY,1,Minimal,2017-11-25,47,2017-18
KS,2,Minimal,2017-11-25,47,2017-18
GA,7,Moderate,2017-11-25,47,2017-18
LA,10,High,2017-11-25,47,2017-18
UT,1,Minimal,2017-11-25,47,2017-18
NC,3,Minimal,2017-11-25,47,2017-18
MA,3,Minimal,2017-12-02,48,2017-18
DC,4,Low,2017-12-02,48,2017-18
MD,1,Minimal,2017-12-02,48,2017-18
IL,3,Minimal,2017-12-02,48,2017-18
ID,2,Minimal,2017-12-02,48,2017-18
HI,5,Low,2017-12-02,48,2017-18
TX,7,Moderate,2017-12-02,48,2017-18
CA,2,Minimal,2017-12-02,48,2017-18
RI,1,Minimal,2017-12-02,48,2017-18
ME,1,Minimal,2017-12-02,48,2017-18
PR,6,Moderate,2017-12-02,48,2017-18
UT,1,Minimal,2017-12-02,48,2017-18
DE,1,Minimal,2017-12-02,48,2017-18
KS,1,Minimal,2017-12-02,48,2017-18
NV,2,Minimal,2017-12-02,48,2017-18
NJ,3,Minimal,2017-12-02,48,2017-18
VA,4,Low,2017-12-02,48,2017-18
OR,3,Minimal,2017-12-02,48,2017-18
KY,3,Minimal,2017-12-02,48,2017-18
NH,1,Minimal,2017-12-02,48,2017-18
MS,10,High,2017-12-02,48,2017-18
CT,2,Minimal,2017-12-02,48,2017-18
NY,1,Minimal,2017-12-02,48,2017-18
AR,4,Low,2017-12-02,48,2017-18
AL,5,Low,2017-12-02,48,2017-18
NM,1,Minimal,2017-12-02,48,2017-18
OK,4,Low,2017-12-02,48,2017-18
SC,10,High,2017-12-02,48,2017-18
MT,1,Minimal,2017-12-02,48,2017-18
GA,6,Moderate,2017-12-02,48,2017-18
OH,1,Minimal,2017-12-02,48,2017-18
VT,1,Minimal,2017-12-02,48,2017-18
LA,10,High,2017-12-02,48,2017-18
WA,1,Minimal,2017-12-02,48,2017-18
MO,1,Minimal,2017-12-02,48,2017-18
AK,5,Low,2017-12-02,48,2017-18
IN,3,Minimal,2017-12-02,48,2017-18
WY,2,Minimal,2017-12-02,48,2017-18
WV,1,Minimal,2017-12-02,48,2017-18
AZ,6,Moderate,2017-12-02,48,2017-18
CO,3,Minimal,2017-12-02,48,2017-18
FL,1,Minimal,2017-12-02,48,2017-18
ND,1,Minimal,2017-12-02,48,2017-18
TN,1,Minimal,2017-12-02,48,2017-18
